dia,hora,partido,inf,sup,med
01,1845,AMLO,12.66,37.83,24.91
01,1845,JAMK,7.4,32.67,19.33
01,1845,JHRC,7.73,29.3,17.79
01,1845,PART,67.38,100,100
01,1845,RAC,8.14,31.73,19.48
01,1900,AMLO,22.63,47.53,34.56
01,1900,JAMK,9.24,31.11,19.67
01,1900,JHRC,3.71,21.42,11.94
01,1900,PART,76.03,100,100
01,1900,RAC,11.41,29.84,20.83
01,1915,AMLO,33.92,52.37,43.01
01,1915,JAMK,11.79,26.08,18.64
01,1915,JHRC,2.48,15.84,8.4
01,1915,PART,67.34,97.76,82.41
01,1915,RAC,14.12,28.45,21.01
01,1930,AMLO,41.22,50.47,46
01,1930,JAMK,15.73,22.96,19.2
01,1930,JHRC,4.6,9.88,7.01
01,1930,PART,68.36,82.7,75.14
01,1930,RAC,19.48,28.01,23.77
01,1945,AMLO,46.17,52.32,49.24
01,1945,JAMK,16.03,20.54,18.31
01,1945,JHRC,4.7,7.38,5.98
01,1945,PART,65.38,74,69.67
01,1945,RAC,20.54,25.52,23.01
01,2000,AMLO,47.97,53.24,50.6
01,2000,JAMK,15.34,19.56,17.41
01,2000,JHRC,4.69,6.49,5.54
01,2000,PART,64.27,70.67,67.49
01,2000,RAC,20.9,25.1,23.02
01,2015,AMLO,48.19,53.18,50.64
01,2015,JAMK,15.04,18.99,16.92
01,2015,JHRC,4.74,6.94,5.74
01,2015,PART,63.54,69.67,66.63
01,2015,RAC,21.34,25.36,23.26
01,2030,AMLO,49.87,53.85,51.78
01,2030,JAMK,14.97,18.11,16.48
01,2030,JHRC,4.95,6.69,5.75
01,2030,PART,63.04,68.46,65.62
01,2030,RAC,20.93,24.46,22.61
01,2045,AMLO,51.37,54.11,52.73
01,2045,JAMK,15.17,17.29,16.16
01,2045,JHRC,4.94,6.51,5.68
01,2045,PART,62.88,66.62,64.72
01,2045,RAC,21.34,23.53,22.4
01,2100,AMLO,52.84,54.14,53.48
01,2100,JAMK,15.38,16.19,15.76
01,2100,JHRC,5.14,5.73,5.4
01,2100,PART,62.73,64.54,63.6
01,2100,RAC,21.94,22.96,22.43
01,2115,AMLO,53.16,54.07,53.63
01,2115,JAMK,15.49,16.12,15.79
01,2115,JHRC,5.19,5.62,5.38
01,2115,PART,62.88,64.06,63.46
01,2115,RAC,21.95,22.8,22.37
01,2130,AMLO,53.47,54.17,53.82
01,2130,JAMK,15.59,16.14,15.87
01,2130,JHRC,5.27,5.56,5.42
01,2130,PART,62.82,63.66,63.23
01,2130,RAC,21.76,22.4,22.05
01,2145,AMLO,53.41,54.05,53.74
01,2145,JAMK,15.69,16.11,15.9
01,2145,JHRC,5.25,5.49,5.37
01,2145,PART,62.86,63.7,63.3
01,2145,RAC,21.89,22.47,22.18
01,2200,AMLO,53.39,53.99,53.68
01,2200,JAMK,15.75,16.16,15.96
01,2200,JHRC,5.23,5.43,5.33
01,2200,PART,62.92,63.63,63.27
01,2200,RAC,21.92,22.44,22.18
01,2215,AMLO,53.36,53.87,53.61
01,2215,JAMK,15.72,16.12,15.93
01,2215,JHRC,5.24,5.41,5.32
01,2215,PART,63.01,63.63,63.31
01,2215,RAC,22.09,22.53,22.31
01,2230,AMLO,53.27,53.78,53.52
01,2230,JAMK,15.77,16.13,15.95
01,2230,JHRC,5.24,5.4,5.32
01,2230,PART,63.01,63.67,63.35
01,2230,RAC,22.15,22.58,22.37
01,2245,AMLO,53.24,53.73,53.48
01,2245,JAMK,15.82,16.19,16
01,2245,JHRC,5.23,5.4,5.31
01,2245,PART,63.06,63.68,63.38
01,2245,RAC,22.11,22.57,22.34
01,2300,AMLO,53.34,53.79,53.56
01,2300,JAMK,15.8,16.15,15.98
01,2300,JHRC,5.22,5.38,5.3
01,2300,PART,63.12,63.71,63.42
01,2300,RAC,22.11,22.53,22.31
01,2315,AMLO,53.31,53.77,53.53
01,2315,JAMK,15.84,16.15,15.99
01,2315,JHRC,5.22,5.37,5.29
01,2315,PART,63.14,63.73,63.43
01,2315,RAC,22.12,22.54,22.33
01,2330,AMLO,53.3,53.76,53.53
01,2330,JAMK,15.84,16.2,16.03
01,2330,JHRC,5.2,5.37,5.29
01,2330,PART,63.07,63.71,63.39
01,2330,RAC,22.1,22.53,22.32
01,2345,AMLO,53.3,53.75,53.53
01,2345,JAMK,15.87,16.21,16.03
01,2345,JHRC,5.21,5.36,5.29
01,2345,PART,63.11,63.66,63.38
01,2345,RAC,22.08,22.53,22.3
02,0000,AMLO,53.26,53.73,53.5
02,0000,JAMK,15.89,16.24,16.06
02,0000,JHRC,5.19,5.35,5.27
02,0000,PART,63.12,63.69,63.4
02,0000,RAC,22.09,22.54,22.32
02,0015,AMLO,53.29,53.74,53.52
02,0015,JAMK,15.88,16.23,16.06
02,0015,JHRC,5.19,5.34,5.27
02,0015,PART,63.12,63.66,63.38
02,0015,RAC,22.12,22.5,22.31
02,0030,AMLO,53.27,53.75,53.5
02,0030,JAMK,15.89,16.25,16.07
02,0030,JHRC,5.19,5.34,5.26
02,0030,PART,63.1,63.67,63.4
02,0030,RAC,22.11,22.49,22.3
