dia,hora,partido,inf,sup,med
01,1845,AMLO,27.08,49.44,37.91
01,1845,JAMK,12.15,26.61,18.58
01,1845,JHRC,6.74,21.12,15.19
01,1845,PART,28.29,76.94,53.52
01,1845,RAC,12.35,28.41,21.34
01,1900,AMLO,29.59,53.71,42.53
01,1900,JAMK,13.34,26.93,19.73
01,1900,JHRC,4.17,20.62,11.69
01,1900,PART,47.82,94.76,56.78
01,1900,RAC,14.25,32.3,22.06
01,1915,AMLO,35.14,52.07,43.78
01,1915,JAMK,15.5,24.86,19.83
01,1915,JHRC,5.21,16.8,10.61
01,1915,PART,56.13,70.33,62.2
01,1915,RAC,18.86,25.71,21.93
01,1930,AMLO,36.89,50.51,44.02
01,1930,JAMK,15.25,20.55,17.56
01,1930,JHRC,4.84,8.15,6.54
01,1930,PART,58.89,72.3,64.62
01,1930,RAC,21.2,26.88,23.91
01,1945,AMLO,46.62,52.49,49.25
01,1945,JAMK,15.93,19.38,17.68
01,1945,JHRC,4.94,7.46,6.11
01,1945,PART,61.59,70.78,65.44
01,1945,RAC,21.48,25.38,23.6
01,2000,AMLO,48.05,52.84,50.16
01,2000,JAMK,15.87,18.69,17.25
01,2000,JHRC,5.04,7.04,5.94
01,2000,PART,62.52,68.35,64.91
01,2000,RAC,21.88,25.09,23.68
01,2015,AMLO,48.98,52.87,50.61
01,2015,JAMK,15.33,17.85,16.58
01,2015,JHRC,5.12,6.7,5.91
01,2015,PART,62.91,67.39,64.62
01,2015,RAC,22.16,25.02,23.78
01,2030,AMLO,50.25,53.35,51.54
01,2030,JAMK,15.25,17.24,16.31
01,2030,JHRC,5.2,6.25,5.72
01,2030,PART,62.76,66.52,64.26
01,2030,RAC,21.96,24.44,23.38
01,2045,AMLO,50.97,53.48,52.09
01,2045,JAMK,15.37,16.85,16.18
01,2045,JHRC,5.21,6.15,5.68
01,2045,PART,62.67,65.4,63.81
01,2045,RAC,22.16,24.02,23.16
01,2100,AMLO,51.95,53.98,52.99
01,2100,JAMK,15.33,16.44,15.82
01,2100,JHRC,5.34,6.02,5.61
01,2100,PART,62.41,64.16,63.23
01,2100,RAC,22.12,23.46,22.73
01,2115,AMLO,52.33,53.99,53.22
01,2115,JAMK,15.39,16.3,15.78
01,2115,JHRC,5.36,5.98,5.59
01,2115,PART,62.48,64.12,63.28
01,2115,RAC,22.09,23.23,22.61
01,2130,AMLO,52.74,54.09,53.47
01,2130,JAMK,15.47,16.3,15.82
01,2130,JHRC,5.4,5.89,5.58
01,2130,PART,62.55,63.75,63.16
01,2130,RAC,21.92,22.83,22.32
01,2145,AMLO,52.94,54.02,53.52
01,2145,JAMK,15.57,16.25,15.86
01,2145,JHRC,5.36,5.75,5.51
01,2145,PART,62.71,63.79,63.26
01,2145,RAC,21.97,22.74,22.32
01,2200,AMLO,53,53.97,53.51
01,2200,JAMK,15.6,16.2,15.87
01,2200,JHRC,5.34,5.65,5.46
01,2200,PART,62.77,63.73,63.25
01,2200,RAC,22,22.73,22.34
01,2215,AMLO,53,53.83,53.45
01,2215,JAMK,15.69,16.27,15.95
01,2215,JHRC,5.27,5.52,5.37
01,2215,PART,62.9,63.82,63.36
01,2215,RAC,22.11,22.74,22.4
01,2230,AMLO,52.99,53.75,53.4
01,2230,JAMK,15.72,16.27,15.96
01,2230,JHRC,5.27,5.51,5.37
01,2230,PART,62.91,63.8,63.37
01,2230,RAC,22.15,22.75,22.43
