dia,hora,partido,inf,sup,med
01,1845,AMLO,12.66,37.83,24.57
01,1845,JAMK,10.83,35.45,21.54
01,1845,JHRC,7.73,29.3,21.03
01,1845,PART,42.15,73.03,59.4
01,1845,RAC,8.14,31.73,21.85
01,1900,AMLO,20.47,49.33,34.03
01,1900,JAMK,14.67,28.3,21.53
01,1900,JHRC,5.35,28.3,16.72
01,1900,PART,57.51,72.95,64.25
01,1900,RAC,17.22,28.29,22.76
01,1915,AMLO,21.32,47.57,34.8
01,1915,JAMK,17.02,28.1,21.85
01,1915,JHRC,5.83,27.35,15.8
01,1915,PART,59.98,72.85,64.36
01,1915,RAC,18.74,28.22,22.76
01,1930,AMLO,24.42,46.85,36.29
01,1930,JAMK,15.73,22.96,18.66
01,1930,JHRC,4.6,10.27,7.53
01,1930,PART,61.33,72.75,65.09
01,1930,RAC,20.77,28.07,24.18
01,1945,AMLO,43.9,52.32,47.49
01,1945,JAMK,16.03,20.54,18.32
01,1945,JHRC,4.7,9.05,6.68
01,1945,PART,62.3,74,66.67
01,1945,RAC,20.54,25.52,23.38
01,2000,AMLO,46,53.24,49.05
01,2000,JAMK,15.34,19.56,17.4
01,2000,JHRC,4.69,8.15,6.22
01,2000,PART,63.12,70.67,65.85
01,2000,RAC,20.9,25.29,23.49
01,2015,AMLO,47.31,53.18,49.61
01,2015,JAMK,15.04,18.99,16.98
01,2015,JHRC,4.74,7.48,6.12
01,2015,PART,63.54,69.67,65.54
01,2015,RAC,21.34,25.37,23.73
01,2030,AMLO,49.18,53.85,51
01,2030,JAMK,14.97,18.11,16.68
01,2030,JHRC,4.95,6.69,5.83
01,2030,PART,63.04,68.46,64.99
01,2030,RAC,20.93,24.54,23.09
01,2045,AMLO,50.4,54.11,51.97
01,2045,JAMK,15.17,17.38,16.43
01,2045,JHRC,4.94,6.51,5.73
01,2045,PART,62.88,66.62,64.31
01,2045,RAC,21.34,23.9,22.76
01,2100,AMLO,51.24,54.14,52.73
01,2100,JAMK,15.38,16.84,15.99
01,2100,JHRC,5.14,6.2,5.54
01,2100,PART,62.73,64.54,63.53
01,2100,RAC,21.94,23.73,22.73
01,2115,AMLO,51.76,54.07,53.05
01,2115,JAMK,15.49,16.63,15.92
01,2115,JHRC,5.19,6.2,5.53
01,2115,PART,62.77,64.06,63.39
01,2115,RAC,21.95,23.43,22.58
01,2130,AMLO,52.4,54.17,53.41
01,2130,JAMK,15.59,16.62,15.98
01,2130,JHRC,5.27,6.04,5.52
01,2130,PART,62.72,63.66,63.2
01,2130,RAC,21.76,22.85,22.19
01,2145,AMLO,52.74,54.05,53.48
01,2145,JAMK,15.69,16.48,15.98
01,2145,JHRC,5.25,5.82,5.44
01,2145,PART,62.86,63.7,63.3
01,2145,RAC,21.89,22.73,22.24
01,2200,AMLO,52.86,53.99,53.48
01,2200,JAMK,15.71,16.39,15.99
01,2200,JHRC,5.23,5.68,5.38
01,2200,PART,62.92,63.63,63.28
01,2200,RAC,21.92,22.74,22.27
01,2215,AMLO,52.92,53.87,53.45
01,2215,JAMK,15.69,16.35,15.96
01,2215,JHRC,5.24,5.57,5.36
01,2215,PART,63.01,63.7,63.34
01,2215,RAC,22.09,22.77,22.37
01,2230,AMLO,52.94,53.78,53.41
01,2230,JAMK,15.72,16.34,15.98
01,2230,JHRC,5.24,5.56,5.36
01,2230,PART,63.01,63.68,63.37
01,2230,RAC,22.15,22.76,22.41
01,2245,AMLO,52.94,53.73,53.38
01,2245,JAMK,15.8,16.4,16.04
01,2245,JHRC,5.23,5.52,5.34
01,2245,PART,63.06,63.69,63.39
01,2245,RAC,22.11,22.7,22.37
01,2300,AMLO,53.05,53.79,53.48
01,2300,JAMK,15.75,16.35,16.01
01,2300,JHRC,5.22,5.47,5.32
01,2300,PART,63.12,63.72,63.44
01,2300,RAC,22.06,22.65,22.32
01,2315,AMLO,53.05,53.77,53.46
01,2315,JAMK,15.77,16.34,16.01
01,2315,JHRC,5.22,5.48,5.32
01,2315,PART,63.14,63.73,63.44
01,2315,RAC,22.07,22.64,22.34
01,2345,AMLO,53.07,53.75,53.46
01,2345,JAMK,15.8,16.36,16.05
01,2345,JHRC,5.21,5.48,5.32
01,2345,PART,63.11,63.7,63.41
01,2345,RAC,22.05,22.61,22.3
02,0000,AMLO,53.12,53.73,53.45
02,0000,JAMK,15.83,16.32,16.06
02,0000,JHRC,5.19,5.43,5.3
02,0000,PART,63.12,63.69,63.41
02,0000,RAC,22.06,22.56,22.31
02,0015,AMLO,53.17,53.74,53.48
02,0015,JAMK,15.81,16.29,16.05
02,0015,JHRC,5.19,5.42,5.3
02,0015,PART,63.12,63.68,63.41
02,0015,RAC,22.07,22.56,22.31
02,0030,AMLO,53.18,53.75,53.48
02,0030,JAMK,15.82,16.28,16.06
02,0030,JHRC,5.19,5.42,5.29
02,0030,PART,63.1,63.69,63.42
02,0030,RAC,22.07,22.54,22.3
