dia,hora,partido,inf,sup,med
01,1845,AMLO,44.89,51.19,48.04
01,1845,JAMK,16.48,19.01,17.75
01,1845,JHRC,8.56,8.62,8.59
01,1845,PART,49.32,52.52,50.92
01,1845,RAC,21.09,24.33,22.71
01,1900,AMLO,47.68,54.91,51.3
01,1900,JAMK,15.91,21.71,18.81
01,1900,JHRC,4.54,8.21,6.38
01,1900,PART,53.83,65.88,59.85
01,1900,RAC,17.91,25.16,21.54
01,1915,AMLO,46.37,52,49.19
01,1915,JAMK,16.81,20.37,18.59
01,1915,JHRC,5.35,6.77,6.06
01,1915,PART,58.1,65.22,61.66
01,1915,RAC,21.38,25.38,23.38
01,1930,AMLO,46.48,50.78,48.63
01,1930,JAMK,16.19,18.63,17.41
01,1930,JHRC,5.81,6.67,6.24
01,1930,PART,61.38,65.93,63.66
01,1930,RAC,23.56,26.73,25.14
01,1945,AMLO,47.34,50.57,48.95
01,1945,JAMK,17.07,18.89,17.98
01,1945,JHRC,5.59,5.91,5.75
01,1945,PART,62.63,65.01,63.82
01,1945,RAC,23.72,25.97,24.84
01,2000,AMLO,49.29,51.09,50.19
01,2000,JAMK,16.39,17.82,17.11
01,2000,JHRC,5.49,5.78,5.63
01,2000,PART,63.89,65.42,64.66
01,2000,RAC,24,25.29,24.64
01,2015,AMLO,49.8,51.54,50.67
01,2015,JAMK,16.22,17.31,16.77
01,2015,JHRC,5.46,5.75,5.61
01,2015,PART,63.95,65.32,64.63
01,2015,RAC,23.67,25.26,24.47
01,2030,AMLO,51,52.42,51.71
01,2030,JAMK,16.12,16.93,16.52
01,2030,JHRC,5.3,5.53,5.42
01,2030,PART,63.88,64.98,64.43
01,2030,RAC,23.05,24.21,23.63
01,2045,AMLO,51.58,52.74,52.16
01,2045,JAMK,16.06,16.78,16.42
01,2045,JHRC,5.34,5.59,5.46
01,2045,PART,63.5,64.44,63.97
01,2045,RAC,22.64,23.55,23.09
01,2100,AMLO,52.42,53.5,52.96
01,2100,JAMK,15.65,16.27,15.96
01,2100,JHRC,5.3,5.54,5.42
01,2100,PART,62.99,63.77,63.38
01,2100,RAC,22.43,23.31,22.87
01,2115,AMLO,52.79,53.74,53.27
01,2115,JAMK,15.56,16.18,15.87
01,2115,JHRC,5.31,5.54,5.42
01,2115,PART,62.91,64.01,63.46
01,2115,RAC,22.35,23.08,22.71
01,2130,AMLO,52.98,53.81,53.39
01,2130,JAMK,15.73,16.25,15.99
01,2130,JHRC,5.36,5.57,5.46
01,2130,PART,62.84,63.6,63.22
01,2130,RAC,22.02,22.7,22.36
01,2145,AMLO,53.06,53.81,53.44
01,2145,JAMK,15.74,16.22,15.98
01,2145,JHRC,5.32,5.52,5.42
01,2145,PART,62.95,63.65,63.3
01,2145,RAC,22.05,22.66,22.36
01,2200,AMLO,53.1,53.82,53.46
01,2200,JAMK,15.75,16.2,15.97
01,2200,JHRC,5.3,5.47,5.38
01,2200,PART,62.97,63.61,63.29
01,2200,RAC,22.05,22.63,22.34
01,2215,AMLO,53.07,53.8,53.44
01,2215,JAMK,15.7,16.16,15.93
01,2215,JHRC,5.31,5.47,5.39
01,2215,PART,63.03,63.71,63.37
01,2215,RAC,22.12,22.72,22.42
01,2230,AMLO,53.05,53.73,53.39
01,2230,JAMK,15.75,16.18,15.96
01,2230,JHRC,5.3,5.46,5.38
01,2230,PART,63.04,63.7,63.37
01,2230,RAC,22.15,22.73,22.44
