dia,hora,partido,inf,sup,med
01,1845,AMLO,41.49,61.04,51.26
01,1845,JAMK,13.47,17.77,15.62
01,1845,JHRC,5.74,12.94,9.34
01,1845,PART,14.44,80.85,47.64
01,1845,RAC,16.55,25.1,20.82
01,1900,AMLO,38.7,58.09,51.02
01,1900,JAMK,12,25.55,17.93
01,1900,JHRC,2.98,12.94,6.66
01,1900,PART,38.13,116.57,49.32
01,1900,RAC,11.29,36.32,21.36
01,1915,AMLO,48.97,56.57,52.77
01,1915,JAMK,13.98,21.62,17.8
01,1915,JHRC,4.58,6.26,5.42
01,1915,PART,52.29,67.81,60.05
01,1915,RAC,18.99,23.21,21.1
01,1930,AMLO,49.35,54.17,51.76
01,1930,JAMK,14.77,18.15,16.46
01,1930,JHRC,5.08,6.03,5.56
01,1930,PART,56.45,71.84,64.15
01,1930,RAC,21.63,25.68,23.65
01,1945,AMLO,49.35,52.66,51
01,1945,JAMK,15.83,18.22,17.03
01,1945,JHRC,5.18,5.88,5.53
01,1945,PART,60.89,67.56,64.22
01,1945,RAC,22.42,25.23,23.83
01,2000,AMLO,50.11,52.43,51.27
01,2000,JAMK,15.8,17.22,16.51
01,2000,JHRC,5.38,5.92,5.65
01,2000,PART,61.92,66.03,63.98
01,2000,RAC,22.85,24.9,23.88
01,2015,AMLO,50.66,52.56,51.61
01,2015,JAMK,15.62,16.71,16.17
01,2015,JHRC,5.49,5.92,5.7
01,2015,PART,62.27,65.11,63.69
01,2015,RAC,22.98,24.67,23.83
01,2030,AMLO,51.32,52.85,52.08
01,2030,JAMK,15.52,16.38,15.95
01,2030,JHRC,5.44,5.8,5.62
01,2030,PART,62.48,64.58,63.53
01,2030,RAC,23,24.34,23.67
01,2045,AMLO,51.53,52.86,52.2
01,2045,JAMK,15.57,16.32,15.94
01,2045,JHRC,5.47,5.79,5.63
01,2045,PART,62.46,64.18,63.32
01,2045,RAC,22.98,24.14,23.56
01,2100,AMLO,52.67,53.82,53.25
01,2100,JAMK,15.28,16.03,15.65
01,2100,JHRC,5.53,5.83,5.68
01,2100,PART,62.09,63.78,62.93
01,2100,RAC,22.29,23.2,22.74
01,2115,AMLO,52.9,53.91,53.4
01,2115,JAMK,15.3,15.96,15.63
01,2115,JHRC,5.52,5.77,5.65
01,2115,PART,62.19,64.18,63.18
01,2115,RAC,22.23,23.04,22.64
01,2130,AMLO,53.08,54.01,53.54
01,2130,JAMK,15.36,15.97,15.67
01,2130,JHRC,5.53,5.75,5.64
01,2130,PART,62.38,63.85,63.12
01,2130,RAC,22.08,22.81,22.44
01,2145,AMLO,53.13,53.99,53.56
01,2145,JAMK,15.45,16.01,15.73
01,2145,JHRC,5.47,5.68,5.58
01,2145,PART,62.56,63.88,63.22
01,2145,RAC,22.05,22.75,22.4
01,2200,AMLO,53.14,53.94,53.54
01,2200,JAMK,15.49,16.01,15.75
01,2200,JHRC,5.44,5.63,5.53
01,2200,PART,62.62,63.84,63.23
01,2200,RAC,22.07,22.73,22.4
01,2215,AMLO,53.05,53.74,53.4
01,2215,JAMK,15.69,16.18,15.94
01,2215,JHRC,5.3,5.47,5.38
01,2215,PART,62.79,63.94,63.37
01,2215,RAC,22.17,22.74,22.45
01,2230,AMLO,53.03,53.7,53.37
01,2230,JAMK,15.72,16.19,15.95
01,2230,JHRC,5.29,5.46,5.38
01,2230,PART,62.82,63.91,63.37
01,2230,RAC,22.19,22.75,22.47
