dia,hora,partido,inf,sup,med
01,1840,AMLO,20.27,28.42,24.23
01,1840,JAMK,20.23,28.37,24.27
01,1840,JHRC,20.29,28.42,24.27
01,1840,PART,60.36,73.03,66.55
01,1840,RAC,20.25,28.34,24.22
01,1845,AMLO,20.27,28.42,24.23
01,1845,JAMK,20.23,28.37,24.27
01,1845,JHRC,20.29,28.42,24.27
01,1845,PART,60.36,73.03,66.55
01,1845,RAC,20.25,28.34,24.22
01,1850,AMLO,20.27,28.42,24.23
01,1850,JAMK,20.23,28.37,24.27
01,1850,JHRC,20.29,28.42,24.27
01,1850,PART,60.36,73.03,66.55
01,1850,RAC,20.25,28.34,24.22
01,1855,AMLO,20.38,28.5,24.33
01,1855,JAMK,20.18,28.33,24.26
01,1855,JHRC,20.23,28.34,24.2
01,1855,PART,60.43,73.03,66.55
01,1855,RAC,20.27,28.32,24.2
01,1900,AMLO,20.47,28.56,24.4
01,1900,JAMK,20.2,28.3,24.23
01,1900,JHRC,20.18,28.3,24.16
01,1900,PART,60.39,72.95,66.52
01,1900,RAC,20.27,28.29,24.2
01,1905,AMLO,20.82,28.91,24.76
01,1905,JAMK,20.13,28.13,24.12
01,1905,JHRC,19.97,28,23.9
01,1905,PART,60.57,73.05,66.63
01,1905,RAC,20.29,28.26,24.2
01,1910,AMLO,20.89,28.93,24.81
01,1910,JAMK,20.21,28.19,24.16
01,1910,JHRC,19.87,27.83,23.8
01,1910,PART,60.43,72.97,66.5
01,1910,RAC,20.35,28.26,24.2
01,1915,AMLO,21.32,29.22,25.19
01,1915,JAMK,20.23,28.1,24.15
01,1915,JHRC,19.46,27.35,23.36
01,1915,PART,60.56,72.85,66.54
01,1915,RAC,20.46,28.22,24.24
01,1920,AMLO,22.17,29.95,26.03
01,1920,JAMK,20.08,27.82,23.87
01,1920,JHRC,18.98,26.74,22.8
01,1920,PART,60.89,72.87,66.78
01,1920,RAC,20.49,28.17,24.26
01,1925,AMLO,23,30.61,26.73
01,1925,JAMK,19.95,27.54,23.69
01,1925,JHRC,18.59,26.25,22.36
01,1925,PART,60.86,72.69,66.69
01,1925,RAC,20.51,28,24.17
01,1930,AMLO,24.42,31.86,28.07
01,1930,JAMK,19.59,26.87,23.19
01,1930,JHRC,17.74,25.07,21.34
01,1930,PART,61.45,72.75,67.01
01,1930,RAC,20.77,28.07,24.37
01,1935,AMLO,25.21,32.42,28.76
01,1935,JAMK,19.62,26.75,23.12
01,1935,JHRC,17.16,24.36,20.69
01,1935,PART,61.52,72.69,66.98
01,1935,RAC,20.91,27.98,24.41
01,1940,AMLO,26.51,33.55,29.97
01,1940,JAMK,19.38,26.23,22.75
01,1940,JHRC,16.33,23.34,19.72
