dia,hora,partido,inf,sup,med
01,1840,AMLO,6.27,47.24,21.87
01,1840,JAMK,8.59,50.74,25.88
01,1840,JHRC,1.28,41.76,11.34
01,1840,PART,39.53,87.31,69.04
01,1840,RAC,12.03,54.92,31.95
01,1845,AMLO,26.83,52.49,39.41
01,1845,JAMK,10.83,35.45,18.81
01,1845,JHRC,4.64,29.51,11.14
01,1845,PART,42.15,60.59,52.25
01,1845,RAC,13.89,38.49,22.8
01,1850,AMLO,29.14,52.69,40.95
01,1850,JAMK,10.45,32.32,17.56
01,1850,JHRC,6.19,28.57,12.47
01,1850,PART,44.22,59.79,52.46
01,1850,RAC,13.92,35.17,21.55
01,1855,AMLO,37.1,57.23,47.7
01,1855,JAMK,10.84,28.4,17.17
01,1855,JHRC,5.26,22.31,10.36
01,1855,PART,49.47,63.72,57.23
01,1855,RAC,11.66,29.07,17.84
01,1900,AMLO,37.8,49.33,43.66
01,1900,JAMK,14.67,24.81,18.83
01,1900,JHRC,5.35,15.94,9.28
01,1900,PART,57.51,65.7,61.99
01,1900,RAC,17.22,27.17,21.32
01,1905,AMLO,39.68,49.4,44.63
01,1905,JAMK,14.57,22.92,18.15
01,1905,JHRC,5.9,14.02,9.03
01,1905,PART,57.18,63.95,60.78
01,1905,RAC,18.12,26.37,21.76
01,1910,AMLO,40.14,47.56,43.9
01,1910,JAMK,16.52,23.1,19.4
01,1910,JHRC,5.92,12.56,8.64
01,1910,PART,58.36,63.14,60.94
01,1910,RAC,18.65,25.03,21.48
01,1915,AMLO,41.05,47.57,44.4
01,1915,JAMK,17.02,22.64,19.56
01,1915,JHRC,5.83,11.61,8.25
01,1915,PART,59.98,64.11,62.18
01,1915,RAC,18.74,24.35,21.28
01,1920,AMLO,41.2,47.04,44.13
01,1920,JAMK,16.93,22.02,19.21
01,1920,JHRC,6.09,11.09,8.24
01,1920,PART,59.68,63.65,61.75
01,1920,RAC,19.85,25.09,22.24
01,1925,AMLO,41.98,47.13,44.54
01,1925,JAMK,16.26,20.65,18.26
01,1925,JHRC,6.42,10.75,8.32
01,1925,PART,60.08,63.48,61.87
01,1925,RAC,20.84,25.32,22.94
01,1930,AMLO,42.15,46.85,44.51
01,1930,JAMK,16.31,20.27,18.13
01,1930,JHRC,6.36,10.27,8.05
01,1930,PART,61.33,64.84,63.17
01,1930,RAC,21.95,26.22,23.98
01,1935,AMLO,42.06,46.41,44.24
01,1935,JAMK,16.56,20.24,18.25
01,1935,JHRC,6.38,9.92,7.95
01,1935,PART,61.42,64.5,62.99
01,1935,RAC,22.38,26.24,24.22
01,1940,AMLO,42.76,46.78,44.79
01,1940,JAMK,16.94,20.31,18.49
01,1940,JHRC,6.26,9.49,7.67
01,1940,PART,61.76,64.65,63.28
01,1940,RAC,22.17,25.75,23.9
01,1945,AMLO,43.9,47.55,45.74
01,1945,JAMK,16.91,19.98,18.34
01,1945,JHRC,6.12,9.05,7.38
01,1945,PART,62.3,64.96,63.68
01,1945,RAC,22.23,25.42,23.74
01,1950,AMLO,44.6,47.98,46.33
01,1950,JAMK,16.77,19.72,18.14
01,1950,JHRC,6.15,8.74,7.29
01,1950,PART,62.36,64.93,63.69
01,1950,RAC,22.27,25.31,23.7
01,1955,AMLO,45.46,48.62,47.06
01,1955,JAMK,16.22,18.97,17.52
01,1955,JHRC,6.13,8.54,7.17
01,1955,PART,62.3,64.66,63.52
01,1955,RAC,22.46,25.34,23.84
01,2000,AMLO,46,48.98,47.49
01,2000,JAMK,16.22,18.73,17.39
01,2000,JHRC,5.96,8.15,6.91
01,2000,PART,63.12,65.25,64.21
01,2000,RAC,22.73,25.29,23.96
01,2005,AMLO,46.22,48.99,47.63
01,2005,JAMK,16.23,18.53,17.3
01,2005,JHRC,5.9,7.94,6.78
01,2005,PART,63.29,65.3,64.33
01,2005,RAC,23.04,25.55,24.23
01,2010,AMLO,46.83,49.54,48.2
01,2010,JAMK,16.04,18.13,17.03
01,2010,JHRC,5.85,7.82,6.71
01,2010,PART,63.2,65.18,64.21
01,2010,RAC,22.93,25.36,24.12
01,2015,AMLO,47.31,49.79,48.57
01,2015,JAMK,16.12,18.09,17.04
01,2015,JHRC,5.76,7.48,6.5
01,2015,PART,63.54,65.34,64.46
01,2015,RAC,23.11,25.37,24.2
01,2020,AMLO,48.16,50.42,49.29
01,2020,JAMK,16.06,17.9,16.92
01,2020,JHRC,5.61,7.13,6.25
01,2020,PART,63.49,65.14,64.33
01,2020,RAC,22.96,25.02,23.95
01,2025,AMLO,48.86,50.97,49.94
01,2025,JAMK,16.14,17.86,16.94
01,2025,JHRC,5.49,6.83,6.04
01,2025,PART,63.62,65.1,64.39
01,2025,RAC,22.71,24.57,23.61
01,2030,AMLO,49.18,51.25,50.23
01,2030,JAMK,16.09,17.77,16.88
01,2030,JHRC,5.38,6.63,5.9
01,2030,PART,63.6,65.05,64.36
01,2030,RAC,22.64,24.54,23.57
01,2035,AMLO,49.88,51.81,50.88
01,2035,JAMK,16.2,17.79,16.93
01,2035,JHRC,5.31,6.4,5.75
01,2035,PART,63.45,64.83,64.15
01,2035,RAC,22.25,24.04,23.11
01,2040,AMLO,50.12,51.94,51.05
01,2040,JAMK,16.12,17.56,16.79
01,2040,JHRC,5.34,6.37,5.75
01,2040,PART,63.22,64.54,63.89
01,2040,RAC,22.4,24.08,23.19
01,2045,AMLO,50.4,52.03,51.22
01,2045,JAMK,16.07,17.38,16.69
01,2045,JHRC,5.4,6.39,5.79
01,2045,PART,63.28,64.51,63.91
01,2045,RAC,22.4,23.9,23.12
01,2050,AMLO,50.81,52.43,51.63
01,2050,JAMK,15.82,17.13,16.43
01,2050,JHRC,5.36,6.29,5.73
01,2050,PART,63.19,64.39,63.8
01,2050,RAC,22.38,23.86,23.08
01,2055,AMLO,51.02,52.55,51.81
01,2055,JAMK,15.75,16.96,16.31
01,2055,JHRC,5.39,6.34,5.76
01,2055,PART,63.1,64.18,63.65
01,2055,RAC,22.35,23.72,23
01,2100,AMLO,51.24,52.7,51.99
01,2100,JAMK,15.68,16.84,16.22
01,2100,JHRC,5.34,6.2,5.67
01,2100,PART,62.94,63.98,63.47
01,2100,RAC,22.39,23.73,23.04
01,2105,AMLO,51.45,52.81,52.16
01,2105,JAMK,15.6,16.67,16.09
01,2105,JHRC,5.36,6.18,5.67
01,2105,PART,62.94,63.94,63.45
01,2105,RAC,22.4,23.67,23
01,2110,AMLO,51.61,52.97,52.31
01,2110,JAMK,15.6,16.61,16.06
01,2110,JHRC,5.35,6.17,5.66
01,2110,PART,62.9,63.96,63.44
01,2110,RAC,22.34,23.59,22.93
01,2115,AMLO,51.76,53.13,52.47
01,2115,JAMK,15.59,16.63,16.06
01,2115,JHRC,5.36,6.2,5.67
01,2115,PART,62.77,63.84,63.32
01,2115,RAC,22.19,23.43,22.78
01,2120,AMLO,51.87,53.18,52.54
01,2120,JAMK,15.68,16.74,16.15
01,2120,JHRC,5.37,6.18,5.68
01,2120,PART,62.73,63.74,63.24
01,2120,RAC,21.98,23.15,22.54
01,2125,AMLO,52.04,53.3,52.7
01,2125,JAMK,15.71,16.74,16.18
01,2125,JHRC,5.37,6.14,5.66
01,2125,PART,62.77,63.77,63.28
01,2125,RAC,21.9,23.02,22.43
01,2130,AMLO,52.4,53.55,53
01,2130,JAMK,15.68,16.62,16.1
01,2130,JHRC,5.38,6.04,5.61
01,2130,PART,62.72,63.63,63.18
01,2130,RAC,21.83,22.85,22.32
01,2135,AMLO,52.46,53.55,53.03
01,2135,JAMK,15.72,16.65,16.14
01,2135,JHRC,5.35,5.97,5.58
01,2135,PART,62.76,63.65,63.21
01,2135,RAC,21.87,22.81,22.32
01,2140,AMLO,52.6,53.61,53.12
01,2140,JAMK,15.75,16.62,16.15
01,2140,JHRC,5.33,5.88,5.53
01,2140,PART,62.84,63.7,63.28
01,2140,RAC,21.86,22.74,22.28
01,2145,AMLO,52.74,53.68,53.22
01,2145,JAMK,15.69,16.48,16.05
01,2145,JHRC,5.33,5.82,5.51
01,2145,PART,62.88,63.68,63.29
01,2145,RAC,21.9,22.73,22.3
01,2150,AMLO,52.85,53.7,53.29
01,2150,JAMK,15.66,16.33,15.97
01,2150,JHRC,5.33,5.76,5.49
01,2150,PART,62.95,63.67,63.31
01,2150,RAC,21.97,22.74,22.33
01,2155,AMLO,52.92,53.72,53.33
01,2155,JAMK,15.68,16.33,15.99
01,2155,JHRC,5.32,5.75,5.48
01,2155,PART,62.96,63.64,63.3
01,2155,RAC,21.92,22.66,22.28
01,2200,AMLO,52.86,53.67,53.28
01,2200,JAMK,15.71,16.39,16.02
01,2200,JHRC,5.29,5.68,5.44
01,2200,PART,62.94,63.63,63.29
01,2200,RAC,21.99,22.74,22.35
01,2205,AMLO,52.88,53.68,53.29
01,2205,JAMK,15.72,16.38,16.03
01,2205,JHRC,5.3,5.64,5.43
01,2205,PART,62.93,63.63,63.28
01,2205,RAC,22,22.74,22.36
01,2210,AMLO,52.98,53.73,53.36
01,2210,JAMK,15.68,16.34,15.98
