dia,hora,fecha,num.casillas,num.estratos,num.estados
01,1835,011835,0,0,0
01,1840,011840,1,1,1
01,1845,011845,4,4,4
01,1850,011850,5,5,4
01,1855,011855,9,7,6
01,1900,011900,23,20,10
01,1905,011905,41,30,15
01,1910,011910,67,46,19
01,1915,011915,100,63,19
01,1920,011920,133,78,19
01,1925,011925,181,100,24
01,1930,011930,229,112,24
01,1935,011935,291,132,26
01,1940,011940,368,150,27
01,1945,011945,446,168,28
01,1950,011950,551,187,29
01,1955,011955,668,208,29
01,2000,012000,799,227,29
01,2005,012005,943,243,29
01,2010,012010,1060,250,29
01,2015,012015,1215,268,29
01,2020,012020,1375,276,29
01,2025,012025,1547,285,29
01,2030,012030,1707,297,30
01,2035,012035,1869,302,30
01,2040,012040,2024,308,30
01,2045,012045,2191,314,31
01,2050,012050,2386,321,31
01,2055,012055,2576,325,32
01,2100,012100,2723,328,32
01,2105,012105,2913,333,32
01,2110,012110,3060,335,32
01,2115,012115,3209,338,32
01,2120,012120,3367,343,32
01,2125,012125,3505,344,32
01,2130,012130,3662,344,32
01,2135,012135,3820,345,32
01,2140,012140,3954,345,32
01,2145,012145,4100,347,32
01,2150,012150,4240,347,32
01,2155,012155,4387,348,32
01,2200,012200,4526,349,32
01,2205,012205,4645,349,32
01,2210,012210,4784,349,32
01,2215,012215,4930,350,32
01,2220,012220,5048,350,32
01,2225,012225,5155,350,32
01,2230,012230,5254,350,32
01,2235,012235,5358,350,32
01,2240,012240,5452,350,32
01,2245,012245,5535,350,32
01,2250,012250,5612,350,32
01,2255,012255,5703,350,32
01,2300,012300,5768,350,32
01,2305,012305,5840,350,32
01,2310,012310,5906,350,32
01,2315,012315,5956,350,32
01,2320,012320,6024,350,32
01,2325,012325,6060,350,32
01,2330,012330,6118,350,32
01,2335,012335,6160,350,32
01,2340,012340,6193,350,32
01,2345,012345,6228,350,32
01,2350,012350,6254,350,32
01,2355,012355,6283,350,32
02,0000,020000,6307,350,32
02,0005,020005,6320,350,32
02,0010,020010,6334,350,32
02,0015,020015,6343,350,32
02,0020,020020,6362,350,32
02,0025,020025,6375,350,32
02,0030,020030,6381,350,32
